review_id,robustness_score,frac_significant,frac_reversed,iqr_theta,eta2_estimator,audit_n_fail,audit_n_warn,audit_pct_fail,audit_pub_bias_flag,audit_model_misspec_flag,audit_prediction_gap_flag,audit_excess_sig_flag,audit_integrity_flag,quality_score,fragility_sub,bias_sub,prediction_sub,orb_sub,benford_mad,has_changepoint,n_changepoints,k,total_n,data_type_binary,data_type_continuous,data_type_GIV,topdim_Bias_Correction,topdim_Estimator,topdim_Leave_One_Out,topdim_CI_Method,never_stabilized,fragile_or_unstable,low_quality
CD004736,66.24,0.6624338624338625,0.0,1.1055829984315806,0.0002,102,56,0.5569620253164557,1,1,1,1,0,38.4,66.24,2.0,3.26,65.0,0.11619527672896392,1,2,17.0,31438.0,0,0,1,1,0,0,0,1,1,1
CD004762,26.98,0.2698412698412698,0.0,0.4984484082591297,0.1785,0,1,0.0,0,0,0,0,0,23.2,26.98,2.0,3.17,75.0,0.1424395683018516,0,0,5.0,349.0,0,0,1,0,1,0,0,0,1,1
CD004871,26.46,0.4312169312169312,0.1666666666666666,0.6520926300196237,0.0452,4,8,0.21428571428571427,1,1,1,0,0,32.0,26.46,2.0,3.34,15.0,0.1553266676302264,0,0,26.0,1497.0,0,0,1,0,0,0,1,0,1,1
CD004904,64.76,0.0666666666666666,0.0,0.3327569407813844,0.0095,0,3,0.0,0,0,0,0,0,70.2,64.76,,2.2,0.0,0.14515833639452083,0,0,4.0,974.0,0,0,1,0,0,1,0,0,1,0
CD004925,66.67,0.6666666666666666,0.0,0.6228617028889376,0.0,8,4,0.8571428571428571,1,1,1,0,0,68.3,66.67,1.0,1.04,0.0,,0,0,11.0,5394.0,0,0,1,1,0,0,0,0,1,0
CD004953,18.25,0.0,0.0,0.137430186957839,0.0146,0,15,0.0,0,0,0,0,0,58.4,18.25,0.0,2.3,20.0,0.06548007130439196,0,0,8.0,698.0,0,0,1,0,0,1,0,0,1,1
CD004992,65.4,0.653968253968254,0.0,1.1123682370672805,0.0043,1,11,0.1111111111111111,0,1,0,0,0,83.9,65.4,,2.57,0.0,0.09465971828272916,0,0,2.0,271.0,0,0,1,1,0,0,0,0,1,0
CD005133,10.99,0.1099206349206349,0.0,0.0847153769520145,0.0003,7,17,0.3,1,1,1,1,0,35.8,10.99,0.0,1.94,20.0,0.0967540721469546,0,0,20.0,1699.0,0,0,1,1,0,0,0,0,1,1
CD005187,66.67,0.6666666666666666,0.0,0.0749669125154441,0.0,0,4,0.0,0,0,0,0,0,78.3,66.67,0.0,2.23,0.0,0.09799512385740713,0,0,2.0,1245.0,0,0,1,1,0,0,0,0,1,0
CD005343,66.67,0.6666666666666666,0.0,0.4865289756599662,0.0,10,10,0.5333333333333333,1,1,1,0,0,38.6,66.67,1.0,3.19,65.0,0.08125259355615232,0,0,4.0,1692.0,0,0,1,1,0,0,0,0,1,1
CD005495,64.29,0.0333333333333333,0.0333333333333333,0.5537123299180605,0.001,5,7,0.375,1,0,0,0,0,57.5,64.29,1.0,1.21,0.0,0.13890250297593335,0,0,25.0,13337.0,0,0,1,1,0,0,0,0,1,1
CD005566,90.42,0.9042145593869731,0.0,0.0025163466373343,0.2603,13,9,1.0,1,1,1,1,0,93.6,90.42,0.0,1.05,20.0,0.11619527672896392,1,3,38.0,86520.0,0,0,1,0,0,1,0,1,0,0
CD005582,100.0,0.0,0.0,0.7213494851249354,0.0,0,2,0.0,0,0,0,0,0,86.7,100.0,,2.2,0.0,0.17020373199258493,0,0,2.0,114.0,0,0,1,0,1,0,0,0,0,0
CD005595,100.0,0.0,0.0,0.1023202670954891,0.0,7,10,0.46153846153846156,1,0,1,0,0,78.5,100.0,0.0,1.04,10.0,0.08843111303823059,0,0,21.0,2328.0,0,0,1,0,1,0,0,0,0,0
CD005951,79.96,0.0753968253968253,0.0,0.2103894401656858,0.0024,1,17,0.09090909090909091,0,0,0,1,0,69.2,79.96,0.0,2.29,25.0,0.0878066988097868,0,0,14.0,4364.0,0,0,1,0,0,1,0,0,0,0
CD006023,71.93,0.7192982456140351,0.0,0.5387805278901798,0.0,13,24,0.32142857142857145,1,1,1,0,0,68.7,71.93,1.0,3.06,10.0,0.0770638858277014,0,0,73.0,25154.0,0,0,1,1,0,0,0,0,0,0
CD006027,36.19,0.3619047619047619,0.0,1.1351749430562172,0.0438,4,6,0.5,1,1,0,0,0,40.6,36.19,,4.15,15.0,0.05610280912784646,0,0,24.0,3162.0,0,0,1,1,0,0,0,0,1,1
CD006124,76.19,0.0680272108843537,0.0,1.3842028717993369,0.0,3,5,0.2857142857142857,1,1,0,1,0,62.7,76.19,0.0,3.35,60.0,0.09019996689332013,0,0,8.0,1412.0,0,0,1,0,0,1,0,0,0,0
CD006140,39.68,0.3968253968253968,0.0,0.2306877991673998,0.0206,14,20,0.47619047619047616,1,1,1,1,0,29.9,39.68,1.0,2.93,60.0,0.1501880456641958,1,1,10.0,1627.0,0,0,1,1,0,0,0,1,1,1
CD006182,60.32,0.6031746031746031,0.0,0.2234962071909458,0.0091,5,10,0.3333333333333333,1,1,1,0,0,81.5,60.32,,2.2,0.0,,0,0,3.0,3326.0,0,0,1,1,0,0,0,0,1,0
CD006185,70.46,0.7046413502109705,0.0,0.1300332150917502,0.0,4,10,0.5,1,0,0,0,0,69.7,70.46,1.0,4.65,0.0,0.08571234494556135,0,0,51.0,16546.0,0,0,1,1,0,0,0,0,0,0
CD006257,89.05,0.0238095238095238,0.0,0.0633397599999535,0.0056,15,16,0.6470588235294118,1,1,1,1,0,73.2,89.05,0.0,1.93,20.0,0.1365098772766609,0,0,67.0,29667.0,0,0,1,0,0,1,0,0,0,0
